ZipCode,RMSE_SARIMAX
01721,0.0
02740,62.882753526940746
07055,215.39278178391064
10005,39.59173583825727
15203,23.541748972566765
15229,18.84378968541961
19119,39.27827933916592
22306,19.06389836644349
23606,67.18183530273477
25414,66.66946974948837
26505,13.13092093934121
26554,49.945837932608406
27502,40.85289410319768
27617,66.94383254671604
28052,11.10605244023602
28269,7.1127714486539055
28278,58.23625868203987
29577,34.97086869945398
30291,52.52395721985343
30328,78.5972832069256
31204,117.26665777728456
31406,99.5099730826844
32210,41.521256055395654
32609,23.33340006998894
33025,17.697716687242945
33317,92.3558450296915
33321,90.29761128525047
33462,34.78944817312189
33569,91.37362731098357
33603,38.80010461788925
33605,20.266772371813936
34203,130.3547544970315
34236,83.40894758837081
34239,36.282131040404785
34606,105.95230107005625
34711,55.88612131916018
34957,60.06886317432536
34987,298.7763152295174
35004,3.388233108148587
37205,42.16248843173269
37803,42.49505734910561
40210,77.48359456142573
40356,41.43169902934892
40601,25.747223881423274
45244,31.397189283217696
50315,33.00159170834145
54703,11.274277696244162
54901,14.556337237648677
55415,65.87365706222076
55441,25.0109881632009
58554,47.854815743122
61104,31.709687950919633
63110,16.22132896705905
67501,26.208353794671325
70791,14.079459466024343
72450,4.1330396464045265
72703,4.88077820334925
72715,3.217069682857887e-11
73003,18.47593205974445
73507,19.495134629746584
74145,23.821937171629003
75039,15.722746576805905
75061,33.15978371581539
75126,22.28968151159821
75212,57.18859395312567
76049,27.072479386177584
76177,9.83405838726556
77565,33.32971927194361
78154,80.60386116537701
78413,19.975708973051503
80241,25.211043205253276
82072,43.11287509666848
83843,28.369572544171067
85140,15.0630218523589
85143,26.78426622793457
85286,85.80513096825638
86406,62.61080283165077
87109,86.17695682818827
90007,198.23126554803628
91301,70.1788621758752
91910,16.04337137578134
92029,80.78482569982624
92107,32.969265142261186
92840,0.5954883637858976
93274,85.64014408902887
93705,84.10297148318377
93726,81.9419800341725
94030,136.86091396818358
94582,28.615365737448766
94591,27.632225417417143
94804,32.61011262271762
95618,104.79187319852666
95826,61.009234159875824
97007,27.69786344883312
97305,24.58475416803451
97306,64.3166310770512
97404,18.63259060483199
98042,11.752045580763603
98233,19.457144272319795
98390,66.31851536972327
